"","sts_copr_a_PROD_F_CA_I10_EU28","sts_copr_a_PROD_F_CC1_CA_I10_EU28","sts_copr_a_PROD_F_CC2_CA_I10_EU28","sts_inpr_a_PROD_MIG_ING_CA_I10_EU28","sts_inpr_a_PROD_MIG_CAG_CA_I10_EU28","sts_inpr_a_PROD_MIG_COG_CA_I10_EU28","sts_inpr_a_PROD_C_CA_I10_EU28","sts_inpr_a_PROD_C10_CA_I10_EU28","sts_inpr_a_PROD_B_CA_I10_EU28","sts_inpr_a_PROD_D_CA_I10_EU28","env_wasmun_DSP_I_KG_HAB_EU28","env_wasmun_DSP_I_RCV_E_KG_HAB_EU28","env_wasmun_DSP_L_OTH_KG_HAB_EU28","env_wasmun_GEN_KG_HAB_EU28","env_wasmun_RCV_E_KG_HAB_EU28","env_wasmun_RCY_C_D_KG_HAB_EU28","env_wasmun_RCY_M_KG_HAB_EU28","env_wasmun_TRT_KG_HAB_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_I90_EU28","sdg_13_10_GHG_TOTX4_MEMONIA_T_HAB_EU28","sdg_13_10_GHG_TOTXMEMONIA_I90_EU28","sdg_13_10_GHG_TOTXMEMONIA_T_HAB_EU28","sdg_13_20_I00_EU28","sdg_12_30_C02KM_EU28","tai08_CH4_PC_CRF3_EU28","tai08_CH4_CO2E_PC_CRF3_EU28","tai08_CO2_PC_CRF3_EU28","tai08_GHG_PC_CRF3_EU28","tai08_N2O_PC_CRF3_EU28","tai08_N2O_CO2E_PC_CRF3_EU28","tran_hv_frtra_I10_EU28","tran_hv_psmod_PC_BUS_TOT_EU28","tran_hv_psmod_PC_CAR_EU28","tran_hv_psmod_PC_TRN_EU28","tran_hv_psmod_PC_TRN_BUS_TOT_AVD_EU28","tran_hv_pstra_I10_EU28","ttr00005_TOT_LOADED_MIO_TKM_EU28","ttr00005_TOT_LOADED_THS_T_EU28","ttr00009_TOTAL_THS_T_EU28","ttr00011_T_FRM_LD_NLD_TOT_TOTAL_EU28","ttr00012_PAS_PAS_CRD_TOTAL_TOT_EU28","sdg_07_10_I05_EU28","sdg_07_10_MTOE_EU28","sdg_07_10_TOE_HAB_EU28","t2020_rk200_TOTAL_KTOE_FC_OTH_HH_E_EU28","ten00123_FC_E_C0000X0350-0370_KTOE_EU28","ten00123_FC_E_C0350-0370_KTOE_EU28","ten00123_FC_E_E7000_KTOE_EU28","ten00123_FC_E_G3000_KTOE_EU28","ten00123_FC_E_H8000_KTOE_EU28","ten00123_FC_E_O4000XBIO_KTOE_EU28","ten00123_FC_E_P1000_KTOE_EU28","ten00123_FC_E_RA000_KTOE_EU28","ten00123_FC_E_S2000_KTOE_EU28","ten00123_FC_E_TOTAL_KTOE_EU28","ten00123_FC_E_W6100_6220_KTOE_EU28"
"1990",NA,NA,NA,NA,NA,98.3,88.3,74.9,118.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,12,100,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274172.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1991",NA,NA,NA,87.4,81.4,97.2,86.3,76.7,125,78.7,NA,NA,NA,NA,NA,NA,NA,NA,98.2,11.8,96.6,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290929.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992",NA,NA,NA,85.4,78.7,95.6,85.1,77,124.6,79.5,NA,NA,NA,NA,NA,NA,NA,NA,95.3,11.4,94.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282472.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1993",NA,NA,NA,81.3,70.7,93.7,80.4,77.6,127.9,80.1,NA,NA,NA,NA,NA,NA,NA,NA,93.6,11.2,92.3,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291977.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1994",NA,NA,NA,87.2,73.1,96.2,84.2,79.1,138.9,80.6,NA,NA,NA,NA,NA,NA,NA,NA,93.1,11.1,91.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281100.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995",NA,NA,NA,89.9,77.9,96.9,87,81.8,141.7,82.8,34,67,302,470,33,29,52,450,93.9,11.2,92.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285526.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996",96.5,NA,NA,88.2,78.8,94,86.1,82.8,144.4,82.8,34,67,295,482,33,33,59,455,96,11.4,93.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310115.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997",95.4,NA,NA,93.7,82.5,95.5,89.8,84.8,141.5,83.5,36,72,298,496,35,36,66,472,94.4,11.2,92.2,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298430.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998",95.7,NA,NA,96.9,87.1,96.9,93.1,86.3,139.3,85,33,73,289,494,39,37,72,471,93.8,11.1,91.3,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298633.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999",98.7,NA,NA,97.8,88.9,97.3,94.1,87.6,142.5,87.4,33,74,287,508,42,39,82,484,92.1,10.8,89.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294430.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000",101.8,103.7,96.7,103.2,95.4,98.7,98.7,88.8,137.2,90.6,33,79,287,521,46,48,83,497,92,10.8,89.9,10.2,100,NA,NA,NA,NA,NA,NA,NA,NA,10.4,82.5,7.1,17.5,105.7,NA,NA,NA,NA,NA,94,1618.5,3.32,291615.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001",102.9,104.4,98.4,102.2,95.8,99.2,98.7,90,133.2,92.4,33,81,277,519,48,50,88,496,92.9,10.9,90.3,10.2,99.7,NA,NA,NA,NA,NA,NA,NA,NA,10.2,82.8,7,17.2,105.4,NA,NA,NA,NA,NA,96.4,1658.3,3.39,306132.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002",103.4,104.8,99.2,101.7,93.8,98.9,97.9,91.7,133.5,93.2,33,84,268,525,51,53,95,501,92.2,10.8,89.9,10.2,99.3,NA,NA,NA,NA,NA,NA,NA,NA,9.8,83.4,6.8,16.6,106,NA,NA,NA,NA,NA,96.3,1656.7,3.38,299845.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2003",105.2,107,98.7,102.4,94,98.4,98.2,92.1,129.4,96,32,84,254,513,53,53,97,489,93.8,10.9,92.1,10.4,99,NA,NA,NA,NA,NA,NA,NA,NA,9.8,83.6,6.6,16.4,105.5,NA,NA,NA,NA,NA,98.7,1699,3.46,309924.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2004",106.4,108.4,97.7,105.4,97.5,99,100.6,94.1,127.2,98.1,33,90,239,512,56,57,99,485,94,10.9,91.7,10.3,97.8,NA,NA,NA,NA,NA,NA,NA,NA,9.7,83.5,6.7,16.5,104,NA,NA,NA,NA,NA,99.7,1715.1,3.47,309784.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005",109.4,110.8,101.9,106.4,100.7,100.1,102.4,96.1,120.2,99.7,36,96,223,515,60,58,105,483,93.5,10.8,91.3,10.2,96.8,NA,NA,NA,NA,NA,NA,NA,107.6,9.8,83.4,6.9,16.6,101.1,NA,NA,NA,NA,NA,100,1721,3.47,311345.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006",113.3,115.9,101.7,111.7,107.4,102.8,107.4,97.5,116.6,100.4,36,104,220,522,68,61,110,495,93.4,10.8,90.9,10.1,96.3,NA,NA,NA,NA,NA,NA,NA,107.6,9.6,83.4,7,16.6,99,NA,NA,NA,NA,NA,100.6,1731.1,3.48,308731.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007",116.6,119.2,105,116,114.8,104.6,111.8,99.5,116.1,99.9,33,105,214,524,72,64,119,502,92.6,10.6,90.9,10.1,96.4,157.5,NA,NA,NA,NA,NA,NA,108.3,9.8,83.1,7.1,16.9,96.2,NA,NA,NA,NA,NA,99,1704,3.41,291036.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
